start_proc_frame,end_proc_frame,start_orig_frame,end_orig_frame,crowd_count,occupancy,mean_speed,median_speed,speed_std,dir_entropy,mean_pairwise_distance,risk_raw,risk_score,risk_ema,act_p_Normal,act_p_Light_Panic,act_p_Fight,act_p_Violent_Group,act_p_Stampede,act_entropy,act_top_prob,act_top2_gap,act_abnormal_prob,vel_hist_0,vel_hist_1,vel_hist_2,vel_hist_3,vel_hist_4,vel_hist_5,vel_hist_6,vel_hist_7,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15,source_file,video_id,start_frame,end_frame,escalation_level_heur,surge_label_heur,escalation_level,surge_label,delta_crowd_count,delta_occupancy,delta_mean_speed,delta_risk_ema,delta_risk_score,speed_per_person
0.0,31.0,,,34,0.38972375,3.940425199759913,0.0,7.344019392967142,0.6454603908819405,480.4359130859375,4.039358555553092,0.6757763950504327,0.6757763950504327,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8076358296622613,0.1424375917767988,0.0323054331864904,0.0073421439060205,0.0073421439060205,0.0014684287812041,0.0,0.0014684287812041,0.0,0.0,0.0,0.0,0.1720279717873734,0.1020979019551078,0.0,0.0195804195530343,0.0475524474859406,0.1790209787706,0.0363636363127781,0.0125874125698078,0.1454545452511125,0.1762237759773094,0.1090909089383344,0.0,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,0.0,0.0,0.0,0.0,0.0,0.11589485540779582
16.0,47.0,,,45,0.47369173,2.7468396833608892,0.0,6.620435787476452,0.6553645605287196,463.5526123046875,3.485019977783055,0.6533143614452598,0.6690377849688808,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.87117903930131,0.0949781659388646,0.0207423580786026,0.0032751091703056,0.0076419213973799,0.0,0.0010917030567685,0.0010917030567685,0.0,0.0,0.0,0.0,0.1821019769176878,0.073881373492319,0.0,0.0457856399107329,0.074921956217563,0.1748178978409803,0.0416233090097572,0.0489073880864647,0.1030176897991491,0.1311134233807352,0.1123829343263445,0.0114464099776832,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,11.0,0.08396798,-1.1935855163990237,-0.006738610081551966,-0.02246203360517296,0.0610408804960002
32.0,63.0,,,53,0.4791988,2.7304975044432607,0.0,8.005594306510236,0.6367470130858324,511.5845947265625,3.6750863556053393,0.6610994361802986,0.6666562803323061,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9,0.0623762376237623,0.0188118811881188,0.0059405940594059,0.0069306930693069,0.0029702970297029,0.0009900990099009,0.0019801980198019,0.0,0.0028222013143723,0.0,0.0,0.1401693319471596,0.0752587017165957,0.0,0.0451552210299574,0.1128880525748936,0.1222953902894681,0.069614299087851,0.069614299087851,0.0818438381167978,0.1185324552036383,0.1175917214321808,0.0442144872585,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,8.0,0.005507070000000003,-0.01634217891762857,-0.002381504636574716,0.007785074735038866,0.05151881986649889
48.0,79.0,,,58,0.4477857,2.792271255053874,0.0,8.078863452699665,0.6715946064178799,554.2486572265625,3.731694783777227,0.663401588988569,0.665679872929185,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9061855670103092,0.0556701030927835,0.0195876288659793,0.0061855670103092,0.0051546391752577,0.0041237113402061,0.0010309278350515,0.002061855670103,0.0,0.0184824902543944,0.0,0.0,0.0885214006920998,0.0476653696034383,0.007782101159745,0.030155641994012,0.0963035018518448,0.0933852139169404,0.0622568092779603,0.0573929960531196,0.1342412450056019,0.1157587547512074,0.1536964979049644,0.0943579765619085,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,5.0,-0.03141309999999997,0.0617737506106133,-0.0009764074031211045,0.002302152808270397,0.0481426070157115
64.0,95.0,,,63,0.5945427,2.886372609105079,0.0,7.918983507021399,0.7590805631479158,527.3219604492188,3.79784490758399,0.6660819830278834,0.6658005059587945,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8882466281310212,0.0684007707129094,0.0202312138728323,0.0067437379576107,0.0067437379576107,0.0057803468208092,0.001926782273603,0.001926782273603,0.0,0.0181653042523475,0.0,0.0,0.0445049954182515,0.0281562215911387,0.0190735694649649,0.0390554041425473,0.1008174386005291,0.0617620344579818,0.052679382331808,0.0499545866939558,0.1834695729487106,0.09355131689959,0.1871026337991801,0.1217075384907288,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,5.0,0.14675699999999997,0.09410135405120501,0.00012063302960951816,0.0026803940393143044,0.045815437512533995
80.0,111.0,,,59,0.61243457,3.296408586340373,0.0,8.636859484222121,0.7235531006267308,574.87646484375,4.048224217545506,0.6761294749531173,0.6688991966570913,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9031496062992126,0.0622047244094488,0.0165354330708661,0.0102362204724409,0.0047244094488188,0.0007874015748031,0.0015748031496062,0.0007874015748031,0.0,0.0030097817885554,0.0,0.0,0.0158013543899162,0.0413844995926376,0.0097817908128052,0.045146726828332,0.1286681714607462,0.0496613995111652,0.0752445447138867,0.0361173814626656,0.19262603446755,0.0782543265024421,0.1813393527604669,0.1429646349563847,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,-4.0,0.017891870000000032,0.41003597723529417,0.0030986906982968243,0.010047491925233909,0.055871331024899024
96.0,127.0,,,67,0.62600744,3.586416797865728,0.0,8.875245623519385,0.6722627166772422,573.8065795898438,4.169211192680544,0.6809276974860929,0.6725077469057917,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.903103709311128,0.0643451930355791,0.0174110522331567,0.0068130204390613,0.0030280090840272,0.0022710068130204,0.0015140045420136,0.0015140045420136,0.0,0.0,0.0,0.0,0.0064841498512362,0.0410662823911626,0.0151296829862178,0.0309798270670174,0.1095100863764336,0.064841498512362,0.090057636822725,0.028818443783272,0.1974063399154133,0.0914985590118886,0.165706051753814,0.158501440807996,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,8.0,0.01357286999999996,0.29000821152535483,0.0036085502487004373,0.004798222532975682,0.05352860812443463
112.0,143.0,,,67,0.56890607,3.609029984496224,0.0,8.45819787194492,0.6909921309479565,582.694091796875,4.126936953159001,0.6792554311320267,0.6745320521736622,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8817813765182186,0.0809716599190283,0.0210526315789473,0.0080971659919028,0.0032388663967611,0.0016194331983805,0.0016194331983805,0.0016194331983805,0.0,0.0,0.0,0.0,0.026881720409461,0.053763440818922,0.0161290322456766,0.0099846390092283,0.0821812595374951,0.0668202764463745,0.0883256527739434,0.0391705068823575,0.2035330259573479,0.1182795698016285,0.1666666665386584,0.1282642088108569,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,0.0,-0.05710136999999993,0.022613186630496163,0.002024305267870452,-0.0016722663540662541,0.05386611836761352
128.0,159.0,,,59,0.4464811,3.5553151892937427,0.0,7.414713585006729,0.6948271027206269,561.8609619140625,3.9512293751008825,0.6722557656608537,0.6738491662198196,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8869918699186992,0.0902439024390243,0.0138211382113821,0.0065040650406504,0.0016260162601626,0.0,0.0,0.0008130081300813,0.0,0.0,0.0,0.0,0.0713731574310526,0.0589604343995652,0.0100853374630835,0.0031031807578718,0.0969743986834954,0.0643910007258409,0.0589604343995652,0.0263770364419107,0.2218774241878375,0.1086113265255148,0.1877424358512471,0.0915438323572196,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,-8.0,-0.12242497000000002,-0.05371479520248146,-0.0006828859538425824,-0.006999665471173033,0.060259578458206176
144.0,175.0,,,60,0.4338776,3.4787382198874517,0.0,6.983937121873318,0.6607168654870371,560.9403076171875,3.8355159755282,0.6676036420249433,0.6719755089613567,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8936731107205624,0.0852372583479789,0.0166959578207381,0.0026362038664323,0.0008787346221441,0.0,0.0,0.0008787346221441,0.0,0.0,0.0,0.0,0.0843071785606784,0.0258764607463468,0.0308848079875752,0.0166944908040947,0.1368948245935769,0.0709515859174026,0.0383973288494179,0.0100166944824568,0.232053422176917,0.0843071785606784,0.1794657761440185,0.0901502503421116,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,1.0,-0.012603500000000045,-0.076576969406291,-0.0018736572584628908,-0.004652123635910388,0.057978969365141374
160.0,191.0,,,58,0.51195824,3.4978290102431884,0.0,7.698648745984523,0.5988330001988803,617.8135375976562,3.913228716114282,0.6707316655706508,0.6716023559441449,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8204393505253104,0.1165234001910219,0.0401146131805157,0.0124164278892072,0.0038204393505253,0.0019102196752626,0.0019102196752626,0.0028653295128939,0.0117647058717061,0.0135746606211994,0.0,0.0,0.0606334841080239,0.0,0.0371040723646117,0.0253393664929055,0.1384615383362339,0.0814479637271964,0.0597285067332773,0.0190045248696791,0.1864253391978051,0.0796380089777031,0.15022624420794,0.1366515835867406,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,-2.0,0.07808064000000003,0.019090790355736686,-0.000373153017211858,0.0031280235457075145,0.060307395688548156
176.0,207.0,,,61,0.6627043,3.1348721162949755,0.0,8.06191909892897,0.5513437031610784,574.5291137695312,3.7940429332539822,0.6659282157679162,0.6699001138912762,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8493031358885017,0.0862369337979094,0.0374564459930313,0.0130662020905923,0.0060975609756097,0.0017421602787456,0.0008710801393728,0.0052264808362369,0.0281224151959285,0.0256410256198171,0.0,0.0,0.0471464019461154,0.0248138957611134,0.0256410256198171,0.0099255583044453,0.1273779982403821,0.0777502067181553,0.0645161289788948,0.0215053763262982,0.1455748551318652,0.0909842844574158,0.1497105044253842,0.1612903224472371,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,3.0,0.15074606000000002,-0.36295689394821284,-0.0017022420528686188,-0.004803449802734616,0.05139134532628902
192.0,223.0,,,64,0.5740442,2.628740707546668,0.0,7.592561940568849,0.5693273145661288,571.906005859375,3.531976962843672,0.655245550728049,0.665503744942308,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.904503105590062,0.0582298136645962,0.0217391304347826,0.0085403726708074,0.0015527950310559,0.0015527950310559,0.0015527950310559,0.0023291925465838,0.0170118343069439,0.0162721893370767,0.0,0.0,0.0695266271675098,0.082100591655251,0.0221893490960137,0.0081360946685383,0.12869822475688,0.0658284023181742,0.0510355029208317,0.0162721893370767,0.1553254436720965,0.1153846152992717,0.140532544274754,0.1116863904499361,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,3.0,-0.08866010000000002,-0.5061314087483075,-0.004396368948968221,-0.010682665039867145,0.041074072913634296
208.0,239.0,,,66,0.53342474,3.0455260951125736,0.0,7.563926664201699,0.6481721280430561,473.7810668945313,3.741702714501118,0.6638077899441208,0.6649949584428518,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8874700718276137,0.0806065442936951,0.0175578611332801,0.00877893056664,0.0007980845969672,0.0,0.0015961691939345,0.0031923383878691,0.0015163002262954,0.0045489006788863,0.0,0.0,0.1000758149354997,0.1182714176510451,0.0227445033944317,0.0272934040733181,0.0955269142566134,0.0667172099569998,0.0470053070151589,0.0212282031681363,0.2001516298709995,0.129643669348261,0.1046247156143861,0.060652009051818,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,2.0,-0.04061946000000005,0.41678538756590555,-0.0005087864994561819,0.008562239216071799,0.04614433407527636
224.0,255.0,,,58,0.4988582,3.605920368704623,0.0,7.062690144710443,0.6580442361738666,590.307861328125,3.896598210892736,0.6700635286670676,0.6665155295101165,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8573943661971831,0.1056338028169014,0.0246478873239436,0.0088028169014084,0.0008802816901408,0.0008802816901408,0.0008802816901408,0.0008802816901408,0.0,0.0,0.0,0.0,0.1122278056011492,0.0837520937322009,0.0376884421794904,0.0242881071823382,0.0569514237378966,0.094639865917387,0.0276381909316263,0.0326633165555583,0.2546063649458908,0.1273031824729454,0.093802344980065,0.0544388609259305,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,-8.0,-0.03456653999999998,0.5603942735920495,0.0015205710672646644,0.006255738722946824,0.0621710397678204
240.0,271.0,,,60,0.43823856,3.617800551920359,0.0,6.80612844108028,0.6224896812369876,569.4521484375,3.8415332956723782,0.6678463788743966,0.6669147843194005,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.7900797165633304,0.149689991142604,0.0354295837023915,0.0159433126660761,0.0017714791851195,0.0044286979627989,0.0017714791851195,0.0008857395925597,0.0,0.0,0.0,0.0,0.1320437341193913,0.0639192598284951,0.0664423885059357,0.0033641715699207,0.0714886458608169,0.0941968039577823,0.0185029436345643,0.0428931875164901,0.1951219510554062,0.1261564338720299,0.0992430613126635,0.0866274179254605,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,2.0,-0.060619639999999975,0.011880183215736029,0.0003992548092840442,-0.0022171497926710693,0.06029667486039474
256.0,287.0,,,54,0.41823703,3.279941394713612,0.0,6.875163602759197,0.6008032629152139,623.9088745117188,3.7037330560484527,0.6622654018333215,0.6655199695735767,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8787610619469026,0.0991150442477876,0.0150442477876106,0.0008849557522123,0.0035398230088495,0.0017699115044247,0.0,0.0008849557522123,0.0,0.0,0.0,0.0,0.1326013512393569,0.0760135134493129,0.0836148647942442,0.0,0.096283783702463,0.0785472972309566,0.0439189188818252,0.0456081080695877,0.0971283782963442,0.139358107990407,0.0945945945147005,0.1123310809862068,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,-6.0,-0.02000152999999999,-0.3378591572067471,-0.0013948147458238136,-0.005580977041075075,0.06073965433285107
272.0,303.0,,,52,0.40036333,3.5006123798338993,0.0,7.91025706415731,0.6035792086675036,578.993408203125,3.948931036757658,0.6721636884563988,0.6675130852384233,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9475190839694656,0.0381679389312977,0.0076335877862595,0.0038167938931297,0.0009541984732824,0.0009541984732824,0.0,0.0009541984732824,0.0,0.0,0.0,0.0,0.096363636276033,0.0527272726793388,0.0836363635603305,0.0072727272661157,0.0827272726520661,0.0890909090099173,0.0972727271842975,0.0545454544958677,0.0945454544595041,0.1281818180652892,0.0809090908355371,0.1327272726066115,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,-2.0,-0.017873699999999992,0.22067098512028727,0.001993115664846612,0.009898286623077346,0.06731946754835445
288.0,319.0,,,49,0.3927804,3.921495289380589,0.0,8.167088647194891,0.6174765330001877,576.98779296875,4.146098247183302,0.6800139790207165,0.6712633533731113,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9277364505844846,0.055260361317747,0.0095642933049946,0.0063761955366631,0.0,0.0,0.0,0.0010626992561105,0.0,0.0,0.0,0.0,0.0525252524721967,0.0191919191725334,0.044444444399551,0.0242424242179369,0.068686868617488,0.0757575756810529,0.1222222220987654,0.0808080807264564,0.1515151513621059,0.0919191918263442,0.0727272726538108,0.1959595957616569,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,-3.0,-0.007582930000000043,0.4208829095466897,0.0037502681346879285,0.00785029056431763,0.08003051447653214
304.0,335.0,,,45,0.39872885,3.2187001289300157,0.0,7.227624228090712,0.6029631937631622,577.3475952148438,3.7302237851211624,0.6633418638545585,0.6688869065175453,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8692307692307693,0.0945054945054945,0.023076923076923,0.0054945054945054,0.0021978021978021,0.001098901098901,0.0021978021978021,0.0021978021978021,0.010471204177517,0.0,0.0,0.0,0.0293193716970477,0.017801047101779,0.0136125654307721,0.046073298381075,0.0659685863183575,0.0513089004698336,0.0764397904958745,0.0900523559266467,0.1717277485112798,0.1078534030284257,0.1036649213574189,0.2157068060568515,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused_fast/alpha_windows.csv,alpha_fused_fast,,,2,1,2,1,-4.0,0.0059484500000000495,-0.7027951604505733,-0.002376446855565928,-0.016672115166157964,0.07152666794229662
,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused/alpha_windows.csv,alpha_fused,0.0,31.0,0,0,0,0,-45.0,-0.39872885,-3.2187001289300157,-0.16888690651754534,-0.1633418638545585,0.0
,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused/alpha_windows.csv,alpha_fused,16.0,47.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused/alpha_windows.csv,alpha_fused,32.0,63.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/ithikash/Downloads/Crowd-Analysis-main/fusion/alpha_fused/alpha_windows.csv,alpha_fused,48.0,79.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
